"Plant ID","Plant Name",Taxonomy,Origin,Material,"Maintained By",Availability
"NSL 31368","TOKYO MARKET","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 32703",SHOGIN,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 32704",COWHORN,"Brassica rapa","United States",Seed,NC7,"Not Available"
"NSL 32804","WHITE EGG","Brassica rapa","United States","Plant, Seed",NC7,", Add to Cart"
"NSL 34675",RAPPONE,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 37048",SHOGOIN,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 42980",CRAWFORD,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 80311","EXTRA EARLY PURPLE-TOP MILAN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"NSL 91609","TENDER GREEN","Brassica rapa","United States",Seed,NSSL,"Not Available"
"PI 115885",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 116021",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 120911",,"Brassica rapa",Turkey,Seed,NC7,"Not Available"
"PI 121839",Samson,"Brassica rapa",India,Seed,NC7,"Not Available"
"PI 125795",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 125796",Shelgarn,"Brassica rapa",Afghanistan,Seed,NC7,"Not Available"
"PI 125797",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 125798",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 125799",Shelgarn,"Brassica rapa",Afghanistan,Seed,NC7,"Not Available"
"PI 125800",,"Brassica rapa",Afghanistan,Seed,NC7,"Not Available"
"PI 127440",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 134692",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 135821",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 135871",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 138894",,"Brassica rapa",Iran,Seed,NC7,"Add to Cart"
"PI 141585",Shelgam,"Brassica rapa",Iran,Seed,NC7,"Not Available"
"PI 162778",NABO,"Brassica rapa",Argentina,Seed,NC7,"Add to Cart"
"PI 163496",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 163497",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 163498",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 164398",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 164468",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 164494",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 164542",SHELGHAM,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 164841",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 165595",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 165608",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 166063",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"NSL 167291",CRAMER,"Brassica rapa","United States",Seed,NSSL,"Not Available"
"PI 169061",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169064",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169070",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169074",AUTUMNALIS,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169079",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169081",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169082",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169084",,"Brassica rapa",Turkey,Seed,NC7,"Not Available"
"PI 169088",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169089",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169091",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169092",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169093",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169094",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169095",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169096",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 169097",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 170032",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 171521",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 173846",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
