"Plant ID","Plant Name",Taxonomy,Origin,Material,"Maintained By",Availability
"PI 340182","I.B. 113","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340183","I.B. 167","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340184","I.B. 112","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340185","I.B. 156","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340186","I.B. 87","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340187","I.B. 249","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340188","I.B. 269","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340189","I.B. 289","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340190","I.B. 340","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340191","I.B. 384","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340192","I.B. 577","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340193","I.B. 581","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340194","I.B. 582","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340195","I.B. 583","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340196","I.B. 584","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340197","I.B. 586","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340198","I.B. 588","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340199","I.B. 115","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340200","I.B. 145","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340201","I.B. 154","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340203","I.B. 358","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340222","I.B. 406","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 343182",NOVITAS,"Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 343183","PR. RAS 1","Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 347595","BC 66","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347596","BCb 8","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347597","BCb 9","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347598",DICHOTOMA,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347599","BCb 14","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347604","BCb 19","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347605","BCb 20","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347607","BC 27","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347609","BC 33","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347610","BC 34","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347611","BC 35","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347612","BCt 31","Brassica rapa",India,Seed,NC7,"Not Available"
"PI 347613","BCt 35","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347614","I.B. 285","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 347846",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352789",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352790",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352791",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352792",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352793",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352794",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352795",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352796",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352797",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352798",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352799",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352800",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352801","I.B. 887","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352802",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352803",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352804",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352805",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352806",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352807","I.B. 924","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352808","I.B. 928","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352809",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352810","I.B. 967","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352811",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352812",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352813","I.B. 1053","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352814",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352815",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352816",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352817",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352818",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352819",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352820","I.B. 1085","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352821",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352822",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352823",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352824",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 352825",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 360878",68-5301,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 365643",POLAR,"Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 370728","NU 60190","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370729","NU 60219","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370730","NU 60245","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370731",DICHOTOMA,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370732","NU 49539","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370733","NU 49542","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370734","NU 60390","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370735","NU 60469","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370736","NU 60502","Brassica rapa",India,Seed,NC7,"Not Available"
"PI 370737","NU 60560","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370738",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370739","NU 49521","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370740","NU 49529","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370741","NU 49494","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370742","I.B. 236","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 370743","NU 46754","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 372514",,"Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 384534","Rapido III","Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 390130","BROWN SARSON","Brassica rapa",Pakistan,Seed,NC7,"Not Available"
"PI 390131","TORIA SCATHI","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 390132","TORIA SEL A","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 391547",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 391548",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 391549",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 391550",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 391551",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 391554",77-232,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 392024","CANA ECHO","Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 392025","CANA SPAN","Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 406311",,"Brassica rapa","Soviet Union",Seed,NC7,"Add to Cart"
"PI 406312",,"Brassica rapa","Soviet Union",Seed,NC7,"Add to Cart"
"PI 419036","Tsao Yutunri","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 419063",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 419180",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 419212",,"Brassica rapa","Hong Kong",Seed,NC7,"Add to Cart"
"PI 426172",K-1016,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426173",K-1032,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426174",K-1033,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426175",K-1071,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426176",K-1075,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426177",K-1081,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 426234","K-17 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426235","K-94  L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426236","K-366 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426237","K-374 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426238","K-384 L.N. RAYA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426239","K-408 L.N. RAYA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426240","K-458 L.N. RAYA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426241","K-459 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426242","K-460 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426243","K-571 L.N. RAYA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426244","K-586 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426245","K-608 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426246","K-652 L.N. TORIA, SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426247","K-660 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426248","K-662 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426249","K-674 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426250","K-676 L.N. RAYA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426251","K-693 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426252","K-694 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426254","K-743 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426255","K-749 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426256","K-752 L.N. TORIA","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426257","K-774 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426258","K-788 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426259","K-794 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426260","K-803 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426261","K-815 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426262","K-833 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426263","K-843 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426264","K-879 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426265","K-880 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426266","K-888 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426267","K-890 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426268","K-894 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426269","K-896 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426270","K-900 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426271","K-903 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426272","K-905 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426273","K-909 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426274","K-910 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426275","K-915 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426276","K-919 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426277","K-921 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426278","K-927 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426279","K-932 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426280","K-933 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426281","K-934 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426282","K-942 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426283","K-946 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426284","K-947 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426285","K-949 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426286","K-953 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426287","K-955 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426288","K-957 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426289","K-963 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426290","K-968 L.N. SARSON","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426368",K-511,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 426392",K-698,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 430601","SHUANG PAI KENG","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 431570",Candle,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 431573",Torch,"Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 432364",BAU-M/2,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432365",BAU-M/3,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432366",BAU-M/12,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432368",BAU-M/25,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432369",BAU-M/26,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432370",BAU-M/27,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432371",BAU-M/37,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432372",BAU-M/38,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432373",BAU-M/39,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432374",BAU-M/41,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432375",BAU-M/86,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 432376",BAU-M/90,"Brassica rapa",Bangladesh,Seed,NC7,"Add to Cart"
"PI 436552","Bai guo tian you cai","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 436560","Wu You no. 1","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 436561","Xi shui You cai bai","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 443023","Foll' Elite E","Brassica rapa",Norway,Seed,NC7,"Add to Cart"
"PI 443024","Hvit Mai' Hellerud","Brassica rapa",Norway,Seed,NC7,"Add to Cart"
"PI 449454",Candle,"Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 458613","Green globe","Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458614","Green resistant","Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458615",Kapai,"Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458616",Manga,"Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458617","Purple resistant","Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458618","York globe","Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 458931",Bele,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 458932",Solo,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 458933",Torpe,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 458972",77-75,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458973",77-76,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458974",77-72,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458975",77-77,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458976",77-74,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458977",77-73,"Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 458982","BCT 9","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458983","BCT 28","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458984","BCT 32","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458985","NU 49303","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458986","I.B. 341","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458987","I.B. 351","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458988","I.B. 1032","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458989","I.B. 2053","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458990","I.B. 1809","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 458991","I.B. 1847","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 469895","Man seng","Brassica rapa","Korea, South",Seed,NC7,"Add to Cart"
"PI 470042","Taiwan natine","Brassica rapa",Taiwan,Seed,NC7,"Add to Cart"
"PI 470064","Yuche Tac man","Brassica rapa","Korea, South",Seed,NC7,"Add to Cart"
"PI 478320","O 90","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 478321","O 105","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 478322","O 106","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 502305",AR-116,"Brassica rapa","Russian Federation",Seed,NC7,"Add to Cart"
"PI 537001",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 537002",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 537003",,"Brassica rapa",Serbia,Seed,NC7,"Add to Cart"
"PI 537009",K-546a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537010",K-645a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537011",K-673a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537012",K-697a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537013",K-829a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537014",K-868a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537015",K-871a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537016",K-940a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537019",K-853a,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 537020",K-281b,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 10",NEH1897,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 11","Genuine Petrovski table","Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 896",NEH1897,"Brassica rapa",Kyrgyzstan,,NC7,"Not Available"
"PI 1207",NEH1897,"Brassica rapa",Uzbekistan,,NC7,"Not Available"
"PI 662683","Spring Annual","Brassica rapa","United States",Seed,NE9,"Add to Cart"
"PI 662772",Barkant,"Brassica rapa",Germany,Seed,NE9,"Not Available"
"G 31848",Barabas,"Brassica rapa",Germany,Seed,NE9,"Not Available"
"PI 662773",Rondo,"Brassica rapa",Unknown,Seed,NE9,"Not Available"
"PI 662774","The Wallace","Brassica rapa",Unknown,Seed,NE9,"Not Available"
"PI 662780","Green Top Scotch","Brassica rapa",Unknown,Seed,NE9,"Not Available"
"PI 662781","Green Globe","Brassica rapa",Unknown,Seed,NE9,"Not Available"
"Ames 22551",LUDOWY,"Brassica rapa",Poland,"Plant, Seed",NC7,"Not Available"
"PI 111415","Rape turnip","Brassica rapa",China,,NC7,"Not Available"
"PI 39465","Man ching","Brassica rapa",China,,NC7,"Not Available"
"PI 32139",,"Brassica rapa","United States",,NC7,"Not Available"
"PI 22755",Petrowski,"Brassica rapa",Finland,,NC7,"Not Available"
"PI 22756","Flat Round Yellow Finnish","Brassica rapa",Finland,,NC7,"Not Available"
"PI 25592",,"Brassica rapa",China,,NC7,"Not Available"
"PI 633160","CR 1476/87b","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 633161","BRA 1228/87","Brassica rapa",Italy,Seed,NC7,"Add to Cart"
"PI 12727",,"Brassica rapa","United States",,NC7,"Not Available"
"G 31786","G 31786","Brassica rapa",China,Seed,NE9,"Not Available"
"G 31787","G 31787","Brassica rapa",China,Seed,NE9,"Not Available"
"PI 662759","G 31788","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 662760","G 31789","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 662761","G 31790","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 662762","G 31791","Brassica rapa",China,Seed,NE9,"Add to Cart"
"PI 15315",Shogoin,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 18401","No. 45","Brassica rapa",Pakistan,,NC7,"Not Available"
"PI 19554","Petrowski Russian","Brassica rapa",Sweden,,NC7,"Not Available"
"PI 2105",Freneuse,"Brassica rapa",France,,NC7,"Not Available"
"PI 2106","Half-long White Forcing","Brassica rapa",France,,NC7,"Not Available"
"PI 2107","Long White Vestus or Jersey","Brassica rapa",France,,NC7,"Not Available"
"PI 2108","Red-top Viarmes","Brassica rapa",France,,NC7,"Not Available"
"PI 2109","Long Red Tankard","Brassica rapa",France,,NC7,"Not Available"
"PI 2110","Large White Globe, Purple Top","Brassica rapa",France,,NC7,"Not Available"
"PI 3984",,"Brassica rapa",Egypt,,NC7,"Not Available"
"PI 6134",,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 6176","White Tankard Purple Top","Brassica rapa",Finland,,NC7,"Not Available"
"PI 6179","Finnish Svedje","Brassica rapa",Finland,,NC7,"Not Available"
"PI 6265",Fiona,"Brassica rapa",Denmark,,NC7,"Not Available"
"PI 603020",77-1075,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 603021","Ames 24530","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603022",K-503,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603023",K-529,"Brassica rapa",Pakistan,Seed,NC7,"Not Available"
"PI 603024",K-569,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603025",K-600,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603026",K-656,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603027",K-657,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 603028",K-764,"Brassica rapa",Pakistan,Seed,NC7,"Not Available"
"PI 603029","I.B. 1883","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 262987","Wassland Improved Medium Long","Brassica rapa","United States",,NC7,"Not Available"
"PI 218064",,"Brassica rapa","United States",,NC7,"Not Available"
"PI 15316",Tennoji,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 15317",Omi-Kabu,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 15318",Naga-Kabu,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 15319",Hino,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 15320",Kokabu,"Brassica rapa",Japan,,NC7,"Not Available"
"PI 19555","Gratscheffs Russian","Brassica rapa",Sweden,,NC7,"Not Available"
"PI 20483",Kalrotter,"Brassica rapa",Sweden,,NC7,"Not Available"
"PI 20594","No. 74","Brassica rapa",Norway,,NC7,"Not Available"
"PI 20598","No. 78","Brassica rapa",Norway,,NC7,"Not Available"
"PI 20601","No. 81","Brassica rapa",Norway,,NC7,"Not Available"
"PI 20603","No. 83","Brassica rapa",Norway,,NC7,"Not Available"
"PI 20918",,"Brassica rapa",Finland,,NC7,"Not Available"
"PI 22757","Yellow Roudn Red-Top","Brassica rapa",Finland,,NC7,"Not Available"
"PI 23966","Pien lang","Brassica rapa",China,,NC7,"Not Available"
"Ames 25642",UKR-99-267,"Brassica rapa",Ukraine,"Plant, Seed",NC7,"Not Available"
"PI 633162",P026,"Brassica rapa",Poland,Seed,NC7,"Add to Cart"
"Ames 25989","Rapa-Early-Group 1","Brassica rapa","United States",Seed,NC7,"Not Available"
"PI 33682",Bortfelder,"Brassica rapa",Sweden,,NC7,"Not Available"
"PI 33683","Yellow Tankard","Brassica rapa",Sweden,,NC7,"Not Available"
"PI 33684",Ostersundom,"Brassica rapa",Sweden,,NC7,"Not Available"
"PI 36301",Navo,"Brassica rapa",Peru,,NC7,"Not Available"
"PI 50450",,"Brassica rapa",China,,NC7,"Not Available"
"PI 629030","Bushu Kanna","Brassica rapa",Japan,Seed,NE9,"Add to Cart"
"PI 20604","No. 84","Brassica rapa",Norway,,NC7,"Not Available"
"PI 20605","No. 85","Brassica rapa",Norway,,NC7,"Not Available"
"PI 60790",Kostenevskaia,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 60791",Petrovskaia,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 60792",Petrovskaia,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 60793",Petrovskaia,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 303945","Funenshe Bortfelder","Brassica rapa",Netherlands,,NC7,"Not Available"
