Accession evaluated for FLWRDATE1
,
accession_id,accession_prefix,accession_number,accession_surfix,observation_value,coded_name,method_name,plant_name,taxon,origin,source_type_code,latitude,longitude,data_quality_code,original_value,frequency,low,hign,mean,sdev,ssize,inventory_prefix,inventory_number,inventory_suffix,,
"1522401","Ames","22962","","112","FLWRDATE1","BRASSICA.OBS.AMES.1997.P","CR 79/94","Brassica juncea","Germany","DONATED","","","","","","","","","","","Ames","22962","96ncao01",
"1522402","PI","633110","","112","FLWRDATE1","BRASSICA.OBS.AMES.1997.P","CR 81/94","Brassica juncea","Germany","DONATED","","","","","","","","","","","PI","633110","96ncao01",
"1522417","PI","633143","","112","FLWRDATE1","BRASSICA.OBS.AMES.1997.P","CR 1200/90b","Brassica nigra","Germany","DONATED","","","","","","","","","","","PI","633143","96ncao01",
"1523644","PI","633148","","112","FLWRDATE1","BRASSICA.OBS.AMES.1997.P","BRA 1046/85","Brassica nigra","Italy","COLLECTED","","","","","","","","","","","PI","633148","96ncao01",
"1523646","PI","633149","","112","FLWRDATE1","BRASSICA.OBS.AMES.1997.P","BRA 1163/86","Brassica nigra","Ethiopia","COLLECTED","","","","","","","","","","","PI","633149","96ncao01",
"1594257","Ames","25992","","112","FLWRDATE1","BRASSICA.OBS.AMES.2000.P","Rapa-Early-Group 4","Brassica rapa subsp. dichotoma","United States","DEVELOPED","","","","","","","","","","","Ames","25992","00ncab01",
"1082828","PI","633181","","113","FLWRDATE1","BRASSICA.OBS.AMES.1998.P","Ames 19366","Brassica rapa subsp. rapa","Honduras","COLLECTED","","","","","","","","","","","PI","633181","92ncao51",
"1086248","PI","597821","","114","FLWRDATE1","BRASSICA.OBS.AMES.1996.P","83-2213-73","Brassica barrelieri","Spain","COLLECTED","35.00000000","-6.00000000","","","","","","","","","PI","597821","93ncao01",
"1086272","Ames","21314","","114","FLWRDATE1","BRASSICA.OBS.AMES.1996.P","135-4247-76","Brassica repanda subsp. almeriensis","Spain","COLLECTED","37.00000000","-2.00000000","","","","","","","","","Ames","21314","93ncao01",
"1086279","Ames","21321","","114","FLWRDATE1","BRASSICA.OBS.AMES.1996.P","142-0905-66","Brassica repanda subsp. africana","Spain","COLLECTED","38.00000000","-2.00000000","","","","","","","","","Ames","21321","93ncao01",
